Price per Carat,Size,Colour,Clarity,Month,Year,Rapper
,1.5-1.69,G,VVS1,Apr,2023,-35
,1.5-1.69,G,VVS2,Apr,2023,-35
,1.5-1.69,G,VS1,Apr,2023,-34
,1.5-1.69,G,VS2,Apr,2023,-32
,1.5-1.69,G,SI1,Apr,2023,-38
,1.5-1.69,G,SI2,Apr,2023,-34
,1.5-1.69,G,I1,Apr,2023,-29
,1.5-1.69,H,IF,Apr,2023,-34
,1.5-1.69,H,VVS1,Apr,2023,-34
,1.5-1.69,H,VVS2,Apr,2023,-32
,1.5-1.69,H,VS1,Apr,2023,-33
,1.5-1.69,H,VS2,Apr,2023,-31
,1.5-1.69,H,SI1,Apr,2023,-37
,1.5-1.69,H,SI2,Apr,2023,-35
,1.5-1.69,H,I1,Apr,2023,-30
,1.5-1.69,I,IF,Apr,2023,-34
,1.5-1.69,I,VVS1,Apr,2023,-35
,1.5-1.69,I,VVS2,Apr,2023,-32
,1.5-1.69,I,VS1,Apr,2023,-30
,1.5-1.69,I,VS2,Apr,2023,-34
,1.5-1.69,I,SI1,Apr,2023,-34
,1.5-1.69,I,SI2,Apr,2023,-32
,1.5-1.69,I,I1,Apr,2023,-28
,1.5-1.69,J,IF,Apr,2023,-35
,1.5-1.69,J,VVS1,Apr,2023,-33
,1.5-1.69,J,VVS2,Apr,2023,-31.5
,1.5-1.69,J,VS1,Apr,2023,-30
,1.5-1.69,J,VS2,Apr,2023,-30
,1.5-1.69,J,SI1,Apr,2023,-33
,1.5-1.69,J,SI2,Apr,2023,-33
,1.5-1.69,J,I1,Apr,2023,-28
,1.5-1.69,K,IF,Apr,2023,-33
,1.5-1.69,K,VVS1,Apr,2023,-33
,1.5-1.69,K,VVS2,Apr,2023,-32
,1.5-1.69,K,VS1,Apr,2023,-35
,1.5-1.69,K,VS2,Apr,2023,-34
,1.5-1.69,K,SI1,Apr,2023,-34
,1.5-1.69,K,SI2,Apr,2023,-32
,1.5-1.69,K,I1,Apr,2023,-30
,1.5-1.69,L,IF,Apr,2023,-34
,1.5-1.69,L,VVS1,Apr,2023,-32.5
,1.5-1.69,L,VVS2,Apr,2023,-36
,1.5-1.69,L,VS1,Apr,2023,-33
,1.5-1.69,L,VS2,Apr,2023,-32
,1.5-1.69,L,SI1,Apr,2023,-32
,1.5-1.69,L,SI2,Apr,2023,-32
,1.5-1.69,L,I1,Apr,2023,-29
,1.5-1.69,M,IF,Apr,2023,-35
,1.5-1.69,M,VVS1,Apr,2023,-33
,1.5-1.69,M,VVS2,Apr,2023,-34
,1.5-1.69,M,VS1,Apr,2023,-32
,1.5-1.69,M,VS2,Apr,2023,-32
,1.5-1.69,M,SI1,Apr,2023,-33
,1.5-1.69,M,SI2,Apr,2023,-36
,1.5-1.69,M,I1,Apr,2023,-32
,1.5-1.69,D,IF,May,2023,-41
,1.5-1.69,D,VVS1,May,2023,-36
,1.5-1.69,D,VVS2,May,2023,-35
,1.5-1.69,D,VS1,May,2023,-35
,1.5-1.69,D,VS2,May,2023,-34
,1.5-1.69,D,SI1,May,2023,-35
,1.5-1.69,D,SI2,May,2023,-36
,1.5-1.69,D,I1,May,2023,-31
,1.5-1.69,E,IF,May,2023,-39
,1.5-1.69,E,VVS1,May,2023,-36
,1.5-1.69,E,VVS2,May,2023,-35
,1.5-1.69,E,VS1,May,2023,-35
,1.5-1.69,E,VS2,May,2023,-34
,1.5-1.69,E,SI1,May,2023,-35
,1.5-1.69,E,SI2,May,2023,-35
,1.5-1.69,E,I1,May,2023,-30
,1.5-1.69,F,IF,May,2023,-37
,1.5-1.69,F,VVS1,May,2023,-33
,1.5-1.69,F,VVS2,May,2023,-32
,1.5-1.69,F,VS1,May,2023,-32
,1.5-1.69,F,VS2,May,2023,-33
,1.5-1.69,F,SI1,May,2023,-34
,1.5-1.69,F,SI2,May,2023,-35
,1.5-1.69,F,I1,May,2023,-30
,1.5-1.69,G,IF,May,2023,-36
,1.5-1.69,G,VVS1,May,2023,-35
,1.5-1.69,G,VVS2,May,2023,-35
,1.5-1.69,G,VS1,May,2023,-34
,1.5-1.69,G,VS2,May,2023,-32
,1.5-1.69,G,SI1,May,2023,-35
,1.5-1.69,G,SI2,May,2023,-36
,1.5-1.69,G,I1,May,2023,-29
,1.5-1.69,H,IF,May,2023,-36
,1.5-1.69,H,VVS1,May,2023,-34
,1.5-1.69,H,VVS2,May,2023,-32
,1.5-1.69,H,VS1,May,2023,-32
,1.5-1.69,H,VS2,May,2023,-29
,1.5-1.69,H,SI1,May,2023,-34
,1.5-1.69,H,SI2,May,2023,-35
,1.5-1.69,H,I1,May,2023,-30
,1.5-1.69,I,IF,May,2023,-36
,1.5-1.69,I,VVS1,May,2023,-34
,1.5-1.69,I,VVS2,May,2023,-32
,1.5-1.69,I,VS1,May,2023,-32
,1.5-1.69,I,VS2,May,2023,-30
,1.5-1.69,I,SI1,May,2023,-34
,1.5-1.69,I,SI2,May,2023,-32
,1.5-1.69,I,I1,May,2023,-28
,1.5-1.69,J,IF,May,2023,-35
,1.5-1.69,J,VVS1,May,2023,-33
,1.5-1.69,J,VVS2,May,2023,-31.5
,1.5-1.69,J,VS1,May,2023,-31
,1.5-1.69,J,VS2,May,2023,-31
,1.5-1.69,J,SI1,May,2023,-33
,1.5-1.69,J,SI2,May,2023,-33
,1.5-1.69,J,I1,May,2023,-28
,1.5-1.69,K,IF,May,2023,-34
,1.5-1.69,K,VVS1,May,2023,-33
,1.5-1.69,K,VVS2,May,2023,-32
,1.5-1.69,K,VS1,May,2023,-30
,1.5-1.69,K,VS2,May,2023,-29
,1.5-1.69,K,SI1,May,2023,-31
,1.5-1.69,K,SI2,May,2023,-32
,1.5-1.69,K,I1,May,2023,-30
,1.5-1.69,L,IF,May,2023,-34
,1.5-1.69,L,VVS1,May,2023,-32.5
,1.5-1.69,L,VVS2,May,2023,-32
,1.5-1.69,L,VS1,May,2023,-29
,1.5-1.69,L,VS2,May,2023,-28
,1.5-1.69,L,SI1,May,2023,-31
,1.5-1.69,L,SI2,May,2023,-32
,1.5-1.69,L,I1,May,2023,-29
,1.5-1.69,M,IF,May,2023,-34
,1.5-1.69,M,VVS1,May,2023,-33
,1.5-1.69,M,VVS2,May,2023,-32
,1.5-1.69,M,VS1,May,2023,-29
,1.5-1.69,M,VS2,May,2023,-28
,1.5-1.69,M,SI1,May,2023,-30
,1.5-1.69,M,SI2,May,2023,-31
,1.5-1.69,M,I1,May,2023,-32
,1.5-1.69,D,IF,Jun,2023,-41
,1.5-1.69,D,VVS1,Jun,2023,-36
,1.5-1.69,D,VVS2,Jun,2023,-35
,1.5-1.69,D,VS1,Jun,2023,-35
,1.5-1.69,D,VS2,Jun,2023,-34
,1.5-1.69,D,SI1,Jun,2023,-35
,1.5-1.69,D,SI2,Jun,2023,-36
,1.5-1.69,D,I1,Jun,2023,-31
,1.5-1.69,E,IF,Jun,2023,-39
,1.5-1.69,E,VVS1,Jun,2023,-36
,1.5-1.69,E,VVS2,Jun,2023,-35
,1.5-1.69,E,VS1,Jun,2023,-35
,1.5-1.69,E,VS2,Jun,2023,-34
,1.5-1.69,E,SI1,Jun,2023,-35
,1.5-1.69,E,SI2,Jun,2023,-35
,1.5-1.69,E,I1,Jun,2023,-30
,1.5-1.69,F,IF,Jun,2023,-37
,1.5-1.69,F,VVS1,Jun,2023,-33
,1.5-1.69,F,VVS2,Jun,2023,-32
,1.5-1.69,F,VS1,Jun,2023,-32
,1.5-1.69,F,VS2,Jun,2023,-33
,1.5-1.69,F,SI1,Jun,2023,-34
,1.5-1.69,F,SI2,Jun,2023,-35
,1.5-1.69,F,I1,Jun,2023,-30
,1.5-1.69,G,IF,Jun,2023,-36
,1.5-1.69,G,VVS1,Jun,2023,-35
,1.5-1.69,G,VVS2,Jun,2023,-35
,1.5-1.69,G,VS1,Jun,2023,-34
,1.5-1.69,G,VS2,Jun,2023,-32
,1.5-1.69,G,SI1,Jun,2023,-35
,1.5-1.69,G,SI2,Jun,2023,-36
,1.5-1.69,G,I1,Jun,2023,-29
,1.5-1.69,H,IF,Jun,2023,-36
,1.5-1.69,H,VVS1,Jun,2023,-34
,1.5-1.69,H,VVS2,Jun,2023,-32
,1.5-1.69,H,VS1,Jun,2023,-32
,1.5-1.69,H,VS2,Jun,2023,-31
,1.5-1.69,H,SI1,Jun,2023,-33
,1.5-1.69,H,SI2,Jun,2023,-35
,1.5-1.69,H,I1,Jun,2023,-30
,1.5-1.69,I,IF,Jun,2023,-36
,1.5-1.69,I,VVS1,Jun,2023,-34
,1.5-1.69,I,VVS2,Jun,2023,-32
,1.5-1.69,I,VS1,Jun,2023,-32
,1.5-1.69,I,VS2,Jun,2023,-31
,1.5-1.69,I,SI1,Jun,2023,-33
,1.5-1.69,I,SI2,Jun,2023,-32
,1.5-1.69,I,I1,Jun,2023,-28
,1.5-1.69,J,IF,Jun,2023,-35
,1.5-1.69,J,VVS1,Jun,2023,-33
,1.5-1.69,J,VVS2,Jun,2023,-31.5
,1.5-1.69,J,VS1,Jun,2023,-31
,1.5-1.69,J,VS2,Jun,2023,-31
,1.5-1.69,J,SI1,Jun,2023,-33
,1.5-1.69,J,SI2,Jun,2023,-33
,1.5-1.69,J,I1,Jun,2023,-28
,1.5-1.69,K,IF,Jun,2023,-34
,1.5-1.69,K,VVS1,Jun,2023,-33
,1.5-1.69,K,VVS2,Jun,2023,-32
,1.5-1.69,K,VS1,Jun,2023,-30
,1.5-1.69,K,VS2,Jun,2023,-29
,1.5-1.69,K,SI1,Jun,2023,-31
,1.5-1.69,K,SI2,Jun,2023,-32
,1.5-1.69,K,I1,Jun,2023,-30
,1.5-1.69,L,IF,Jun,2023,-34
,1.5-1.69,L,VVS1,Jun,2023,-32.5
,1.5-1.69,L,VVS2,Jun,2023,-32
,1.5-1.69,L,VS1,Jun,2023,-29
,1.5-1.69,L,VS2,Jun,2023,-28
,1.5-1.69,L,SI1,Jun,2023,-31
,1.5-1.69,L,SI2,Jun,2023,-32
,1.5-1.69,L,I1,Jun,2023,-29
,1.5-1.69,M,IF,Jun,2023,-34
,1.5-1.69,M,VVS1,Jun,2023,-33
,1.5-1.69,M,VVS2,Jun,2023,-32
,1.5-1.69,M,VS1,Jun,2023,-29
,1.5-1.69,M,VS2,Jun,2023,-28
,1.5-1.69,M,SI1,Jun,2023,-30
,1.5-1.69,M,SI2,Jun,2023,-31
,1.5-1.69,M,I1,Jun,2023,-32
,1.5-1.69,D,IF,Jul,2023,-41
,1.5-1.69,D,VVS1,Jul,2023,-36
,1.5-1.69,D,VVS2,Jul,2023,-35
,1.5-1.69,D,VS1,Jul,2023,-35
,1.5-1.69,D,VS2,Jul,2023,-34
,1.5-1.69,D,SI1,Jul,2023,-35
,1.5-1.69,D,SI2,Jul,2023,-36
,1.5-1.69,D,I1,Jul,2023,-31
,1.5-1.69,E,IF,Jul,2023,-39
,1.5-1.69,E,VVS1,Jul,2023,-36
,1.5-1.69,E,VVS2,Jul,2023,-35
,1.5-1.69,E,VS1,Jul,2023,-35
,1.5-1.69,E,VS2,Jul,2023,-34
,1.5-1.69,E,SI1,Jul,2023,-35
,1.5-1.69,E,SI2,Jul,2023,-35
,1.5-1.69,E,I1,Jul,2023,-30
,1.5-1.69,F,IF,Jul,2023,-37
,1.5-1.69,F,VVS1,Jul,2023,-33
,1.5-1.69,F,VVS2,Jul,2023,-32
,1.5-1.69,F,VS1,Jul,2023,-32
,1.5-1.69,F,VS2,Jul,2023,-33
,1.5-1.69,F,SI1,Jul,2023,-34
,1.5-1.69,F,SI2,Jul,2023,-35
,1.5-1.69,F,I1,Jul,2023,-30
,1.5-1.69,G,IF,Jul,2023,-36
,1.5-1.69,G,VVS1,Jul,2023,-35
,1.5-1.69,G,VVS2,Jul,2023,-35
,1.5-1.69,G,VS1,Jul,2023,-34
,1.5-1.69,G,VS2,Jul,2023,-32
,1.5-1.69,G,SI1,Jul,2023,-35
,1.5-1.69,G,SI2,Jul,2023,-36
,1.5-1.69,G,I1,Jul,2023,-29
,1.5-1.69,H,IF,Jul,2023,-36
,1.5-1.69,H,VVS1,Jul,2023,-34
,1.5-1.69,H,VVS2,Jul,2023,-32
,1.5-1.69,H,VS1,Jul,2023,-32
,1.5-1.69,H,VS2,Jul,2023,-31
,1.5-1.69,H,SI1,Jul,2023,-33
,1.5-1.69,H,SI2,Jul,2023,-35
,1.5-1.69,H,I1,Jul,2023,-30
,1.5-1.69,I,IF,Jul,2023,-36
,1.5-1.69,I,VVS1,Jul,2023,-34
,1.5-1.69,I,VVS2,Jul,2023,-32
,1.5-1.69,I,VS1,Jul,2023,-32
,1.5-1.69,I,VS2,Jul,2023,-31
,1.5-1.69,I,SI1,Jul,2023,-33
,1.5-1.69,I,SI2,Jul,2023,-32
,1.5-1.69,I,I1,Jul,2023,-28
,1.5-1.69,J,IF,Jul,2023,-35
,1.5-1.69,J,VVS1,Jul,2023,-33
,1.5-1.69,J,VVS2,Jul,2023,-31.5
,1.5-1.69,J,VS1,Jul,2023,-31
,1.5-1.69,J,VS2,Jul,2023,-31
,1.5-1.69,J,SI1,Jul,2023,-33
,1.5-1.69,J,SI2,Jul,2023,-33
,1.5-1.69,J,I1,Jul,2023,-28
,1.5-1.69,K,IF,Jul,2023,-34
,1.5-1.69,K,VVS1,Jul,2023,-33
,1.5-1.69,K,VVS2,Jul,2023,-32
,1.5-1.69,K,VS1,Jul,2023,-30
,1.5-1.69,K,VS2,Jul,2023,-29
,1.5-1.69,K,SI1,Jul,2023,-31
,1.5-1.69,K,SI2,Jul,2023,-32
,1.5-1.69,K,I1,Jul,2023,-30
,1.5-1.69,L,IF,Jul,2023,-34
,1.5-1.69,L,VVS1,Jul,2023,-32.5
,1.5-1.69,L,VVS2,Jul,2023,-32
,1.5-1.69,L,VS1,Jul,2023,-29
,1.5-1.69,L,VS2,Jul,2023,-28
,1.5-1.69,L,SI1,Jul,2023,-31
,1.5-1.69,L,SI2,Jul,2023,-32
,1.5-1.69,L,I1,Jul,2023,-29
,1.5-1.69,M,IF,Jul,2023,-34
,1.5-1.69,M,VVS1,Jul,2023,-33
,1.5-1.69,M,VVS2,Jul,2023,-32
,1.5-1.69,M,VS1,Jul,2023,-29
,1.5-1.69,M,VS2,Jul,2023,-28
,1.5-1.69,M,SI1,Jul,2023,-30
,1.5-1.69,M,SI2,Jul,2023,-31
,1.5-1.69,M,I1,Jul,2023,-32
,1.5-1.69,D,IF,Aug,2023,-41
,1.5-1.69,D,VVS1,Aug,2023,-36
,1.5-1.69,D,VVS2,Aug,2023,-35
,1.5-1.69,D,VS1,Aug,2023,-35
,1.5-1.69,D,VS2,Aug,2023,-34
,1.5-1.69,D,SI1,Aug,2023,-35
,1.5-1.69,D,SI2,Aug,2023,-36
,1.5-1.69,D,I1,Aug,2023,-31
,1.5-1.69,E,IF,Aug,2023,-39
,1.5-1.69,E,VVS1,Aug,2023,-36
,1.5-1.69,E,VVS2,Aug,2023,-36
,1.5-1.69,E,VS1,Aug,2023,-35
,1.5-1.69,E,VS2,Aug,2023,-34
,1.5-1.69,E,SI1,Aug,2023,-35
,1.5-1.69,E,SI2,Aug,2023,-35
,1.5-1.69,E,I1,Aug,2023,-30
,1.5-1.69,F,IF,Aug,2023,-37
,1.5-1.69,F,VVS1,Aug,2023,-35
,1.5-1.69,F,VVS2,Aug,2023,-34
,1.5-1.69,F,VS1,Aug,2023,-33
,1.5-1.69,F,VS2,Aug,2023,-33
,1.5-1.69,F,SI1,Aug,2023,-34
,1.5-1.69,F,SI2,Aug,2023,-35
,1.5-1.69,F,I1,Aug,2023,-30
,1.5-1.69,G,IF,Aug,2023,-37
,1.5-1.69,G,VVS1,Aug,2023,-35
,1.5-1.69,G,VVS2,Aug,2023,-35
,1.5-1.69,G,VS1,Aug,2023,-34
,1.5-1.69,G,VS2,Aug,2023,-32
,1.5-1.69,G,SI1,Aug,2023,-35
,1.5-1.69,G,SI2,Aug,2023,-36
,1.5-1.69,G,I1,Aug,2023,-29
,1.5-1.69,H,IF,Aug,2023,-37
,1.5-1.69,H,VVS1,Aug,2023,-34
,1.5-1.69,H,VVS2,Aug,2023,-34
,1.5-1.69,H,VS1,Aug,2023,-33
,1.5-1.69,H,VS2,Aug,2023,-31
,1.5-1.69,H,SI1,Aug,2023,-33
,1.5-1.69,H,SI2,Aug,2023,-35
,1.5-1.69,H,I1,Aug,2023,-30
,1.5-1.69,I,IF,Aug,2023,-37
,1.5-1.69,I,VVS1,Aug,2023,-34
,1.5-1.69,I,VVS2,Aug,2023,-34
,1.5-1.69,I,VS1,Aug,2023,-32
,1.5-1.69,I,VS2,Aug,2023,-31
,1.5-1.69,I,SI1,Aug,2023,-33
,1.5-1.69,I,SI2,Aug,2023,-32
,1.5-1.69,I,I1,Aug,2023,-28
,1.5-1.69,J,IF,Aug,2023,-35
,1.5-1.69,J,VVS1,Aug,2023,-33
,1.5-1.69,J,VVS2,Aug,2023,-31.5
,1.5-1.69,J,VS1,Aug,2023,-31
,1.5-1.69,J,VS2,Aug,2023,-31
,1.5-1.69,J,SI1,Aug,2023,-33
,1.5-1.69,J,SI2,Aug,2023,-33
,1.5-1.69,J,I1,Aug,2023,-28
,1.5-1.69,K,IF,Aug,2023,-34
,1.5-1.69,K,VVS1,Aug,2023,-33
,1.5-1.69,K,VVS2,Aug,2023,-32
,1.5-1.69,K,VS1,Aug,2023,-30
,1.5-1.69,K,VS2,Aug,2023,-29
,1.5-1.69,K,SI1,Aug,2023,-31
,1.5-1.69,K,SI2,Aug,2023,-32
,1.5-1.69,K,I1,Aug,2023,-30
,1.5-1.69,L,IF,Aug,2023,-34
,1.5-1.69,L,VVS1,Aug,2023,-32.5
,1.5-1.69,L,VVS2,Aug,2023,-32
,1.5-1.69,L,VS1,Aug,2023,-29
,1.5-1.69,L,VS2,Aug,2023,-28
,1.5-1.69,L,SI1,Aug,2023,-31
,1.5-1.69,L,SI2,Aug,2023,-32
,1.5-1.69,L,I1,Aug,2023,-29
,1.5-1.69,M,IF,Aug,2023,-34
,1.5-1.69,M,VVS1,Aug,2023,-33
,1.5-1.69,M,VVS2,Aug,2023,-32
,1.5-1.69,M,VS1,Aug,2023,-29
,1.5-1.69,M,VS2,Aug,2023,-28
,1.5-1.69,M,SI1,Aug,2023,-30
,1.5-1.69,M,SI2,Aug,2023,-31
,1.5-1.69,M,I1,Aug,2023,-32
,1.5-1.69,D,IF,Sep,2023,-41
,1.5-1.69,D,VVS1,Sep,2023,-37
,1.5-1.69,D,VVS2,Sep,2023,-36
,1.5-1.69,D,VS1,Sep,2023,-36
,1.5-1.69,D,VS2,Sep,2023,-34
,1.5-1.69,D,SI1,Sep,2023,-35
,1.5-1.69,D,SI2,Sep,2023,-36
,1.5-1.69,D,I1,Sep,2023,-31
,1.5-1.69,E,IF,Sep,2023,-39
,1.5-1.69,E,VVS1,Sep,2023,-37
,1.5-1.69,E,VVS2,Sep,2023,-36
,1.5-1.69,E,VS1,Sep,2023,-36.5
,1.5-1.69,E,VS2,Sep,2023,-34
,1.5-1.69,E,SI1,Sep,2023,-35
,1.5-1.69,E,SI2,Sep,2023,-35
,1.5-1.69,E,I1,Sep,2023,-30
,1.5-1.69,F,IF,Sep,2023,-39
,1.5-1.69,F,VVS1,Sep,2023,-36
,1.5-1.69,F,VVS2,Sep,2023,-36
,1.5-1.69,F,VS1,Sep,2023,-34.5
,1.5-1.69,F,VS2,Sep,2023,-33
,1.5-1.69,F,SI1,Sep,2023,-34
,1.5-1.69,F,SI2,Sep,2023,-35
,1.5-1.69,F,I1,Sep,2023,-30
,1.5-1.69,G,IF,Sep,2023,-39
,1.5-1.69,G,VVS1,Sep,2023,-35
,1.5-1.69,G,VVS2,Sep,2023,-35
,1.5-1.69,G,VS1,Sep,2023,-34
,1.5-1.69,G,VS2,Sep,2023,-32
,1.5-1.69,G,SI1,Sep,2023,-35
,1.5-1.69,G,SI2,Sep,2023,-36
,1.5-1.69,G,I1,Sep,2023,-29
,1.5-1.69,H,IF,Sep,2023,-38
,1.5-1.69,H,VVS1,Sep,2023,-35
,1.5-1.69,H,VVS2,Sep,2023,-35
,1.5-1.69,H,VS1,Sep,2023,-33
,1.5-1.69,H,VS2,Sep,2023,-32
,1.5-1.69,H,SI1,Sep,2023,-33
,1.5-1.69,H,SI2,Sep,2023,-35
,1.5-1.69,H,I1,Sep,2023,-30
,1.5-1.69,I,IF,Sep,2023,-38
,1.5-1.69,I,VVS1,Sep,2023,-35
,1.5-1.69,I,VVS2,Sep,2023,-35
,1.5-1.69,I,VS1,Sep,2023,-32
,1.5-1.69,I,VS2,Sep,2023,-32
,1.5-1.69,I,SI1,Sep,2023,-33
,1.5-1.69,I,SI2,Sep,2023,-32
,1.5-1.69,I,I1,Sep,2023,-28
,1.5-1.69,J,IF,Sep,2023,-35
,1.5-1.69,J,VVS1,Sep,2023,-33
,1.5-1.69,J,VVS2,Sep,2023,-31.5
,1.5-1.69,J,VS1,Sep,2023,-31
,1.5-1.69,J,VS2,Sep,2023,-31
,1.5-1.69,J,SI1,Sep,2023,-33
,1.5-1.69,J,SI2,Sep,2023,-33
,1.5-1.69,J,I1,Sep,2023,-28
,1.5-1.69,K,IF,Sep,2023,-34
,1.5-1.69,K,VVS1,Sep,2023,-33
,1.5-1.69,K,VVS2,Sep,2023,-32
,1.5-1.69,K,VS1,Sep,2023,-30
,1.5-1.69,K,VS2,Sep,2023,-29
,1.5-1.69,K,SI1,Sep,2023,-31
,1.5-1.69,K,SI2,Sep,2023,-32
,1.5-1.69,K,I1,Sep,2023,-30
,1.5-1.69,L,IF,Sep,2023,-34
,1.5-1.69,L,VVS1,Sep,2023,-32.5
,1.5-1.69,L,VVS2,Sep,2023,-32
,1.5-1.69,L,VS1,Sep,2023,-29
,1.5-1.69,L,VS2,Sep,2023,-28
,1.5-1.69,L,SI1,Sep,2023,-31
,1.5-1.69,L,SI2,Sep,2023,-32
,1.5-1.69,L,I1,Sep,2023,-29
,1.5-1.69,M,IF,Sep,2023,-34
,1.5-1.69,M,VVS1,Sep,2023,-33
,1.5-1.69,M,VVS2,Sep,2023,-32
,1.5-1.69,M,VS1,Sep,2023,-29
,1.5-1.69,M,VS2,Sep,2023,-28
,1.5-1.69,M,SI1,Sep,2023,-30
,1.5-1.69,M,SI2,Sep,2023,-31
,1.5-1.69,M,I1,Sep,2023,-32
,1.5-1.69,D,IF,Oct,2023,-41
,1.5-1.69,D,VVS1,Oct,2023,-37
,1.5-1.69,D,VVS2,Oct,2023,-36
,1.5-1.69,D,VS1,Oct,2023,-36
,1.5-1.69,D,VS2,Oct,2023,-34
,1.5-1.69,D,SI1,Oct,2023,-35
,1.5-1.69,D,SI2,Oct,2023,-36
,1.5-1.69,D,I1,Oct,2023,-31
,1.5-1.69,E,IF,Oct,2023,-39
,1.5-1.69,E,VVS1,Oct,2023,-37
,1.5-1.69,E,VVS2,Oct,2023,-36
,1.5-1.69,E,VS1,Oct,2023,-36.5
,1.5-1.69,E,VS2,Oct,2023,-34
,1.5-1.69,E,SI1,Oct,2023,-35
,1.5-1.69,E,SI2,Oct,2023,-35
,1.5-1.69,E,I1,Oct,2023,-30
,1.5-1.69,F,IF,Oct,2023,-39
,1.5-1.69,F,VVS1,Oct,2023,-36
,1.5-1.69,F,VVS2,Oct,2023,-36
,1.5-1.69,F,VS1,Oct,2023,-34.5
,1.5-1.69,F,VS2,Oct,2023,-33
,1.5-1.69,F,SI1,Oct,2023,-34
,1.5-1.69,F,SI2,Oct,2023,-35
,1.5-1.69,F,I1,Oct,2023,-30
,1.5-1.69,G,IF,Oct,2023,-39
,1.5-1.69,G,VVS1,Oct,2023,-35
,1.5-1.69,G,VVS2,Oct,2023,-35
,1.5-1.69,G,VS1,Oct,2023,-34
,1.5-1.69,G,VS2,Oct,2023,-32
,1.5-1.69,G,SI1,Oct,2023,-35
,1.5-1.69,G,SI2,Oct,2023,-36
,1.5-1.69,G,I1,Oct,2023,-29
,1.5-1.69,H,IF,Oct,2023,-38
,1.5-1.69,H,VVS1,Oct,2023,-35
,1.5-1.69,H,VVS2,Oct,2023,-35
,1.5-1.69,H,VS1,Oct,2023,-33
,1.5-1.69,H,VS2,Oct,2023,-32
,1.5-1.69,H,SI1,Oct,2023,-33
,1.5-1.69,H,SI2,Oct,2023,-35
,1.5-1.69,H,I1,Oct,2023,-30
,1.5-1.69,I,IF,Oct,2023,-38
,1.5-1.69,I,VVS1,Oct,2023,-35
,1.5-1.69,I,VVS2,Oct,2023,-35
,1.5-1.69,I,VS1,Oct,2023,-32
,1.5-1.69,I,VS2,Oct,2023,-32
,1.5-1.69,I,SI1,Oct,2023,-33
,1.5-1.69,I,SI2,Oct,2023,-32
,1.5-1.69,I,I1,Oct,2023,-28
,1.5-1.69,J,IF,Oct,2023,-35
,1.5-1.69,J,VVS1,Oct,2023,-33
,1.5-1.69,J,VVS2,Oct,2023,-31.5
,1.5-1.69,J,VS1,Oct,2023,-31
,1.5-1.69,J,VS2,Oct,2023,-31
,1.5-1.69,J,SI1,Oct,2023,-33
,1.5-1.69,J,SI2,Oct,2023,-33
,1.5-1.69,J,I1,Oct,2023,-28
,1.5-1.69,K,IF,Oct,2023,-34
,1.5-1.69,K,VVS1,Oct,2023,-33
,1.5-1.69,K,VVS2,Oct,2023,-32
,1.5-1.69,K,VS1,Oct,2023,-30
,1.5-1.69,K,VS2,Oct,2023,-29
,1.5-1.69,K,SI1,Oct,2023,-31
,1.5-1.69,K,SI2,Oct,2023,-32
,1.5-1.69,K,I1,Oct,2023,-30
,1.5-1.69,L,IF,Oct,2023,-34
,1.5-1.69,L,VVS1,Oct,2023,-32.5
,1.5-1.69,L,VVS2,Oct,2023,-32
,1.5-1.69,L,VS1,Oct,2023,-29
,1.5-1.69,L,VS2,Oct,2023,-28
,1.5-1.69,L,SI1,Oct,2023,-31
,1.5-1.69,L,SI2,Oct,2023,-32
,1.5-1.69,L,I1,Oct,2023,-29
,1.5-1.69,M,IF,Oct,2023,-34
,1.5-1.69,M,VVS1,Oct,2023,-33
,1.5-1.69,M,VVS2,Oct,2023,-32
,1.5-1.69,M,VS1,Oct,2023,-29
,1.5-1.69,M,VS2,Oct,2023,-28
,1.5-1.69,M,SI1,Oct,2023,-30
,1.5-1.69,M,SI2,Oct,2023,-31
,1.5-1.69,M,I1,Oct,2023,-32
,1.5-1.69,D,IF,Nov,2023,-41
,1.5-1.69,D,VVS1,Nov,2023,-37
,1.5-1.69,D,VVS2,Nov,2023,-36
,1.5-1.69,D,VS1,Nov,2023,-36
,1.5-1.69,D,VS2,Nov,2023,-34
,1.5-1.69,D,SI1,Nov,2023,-35
,1.5-1.69,D,SI2,Nov,2023,-36
,1.5-1.69,D,I1,Nov,2023,-31
,1.5-1.69,E,IF,Nov,2023,-39
,1.5-1.69,E,VVS1,Nov,2023,-37
,1.5-1.69,E,VVS2,Nov,2023,-36
,1.5-1.69,E,VS1,Nov,2023,-36.5
,1.5-1.69,E,VS2,Nov,2023,-34
,1.5-1.69,E,SI1,Nov,2023,-35
,1.5-1.69,E,SI2,Nov,2023,-35
,1.5-1.69,E,I1,Nov,2023,-30
,1.5-1.69,F,IF,Nov,2023,-39
,1.5-1.69,F,VVS1,Nov,2023,-36
,1.5-1.69,F,VVS2,Nov,2023,-36
,1.5-1.69,F,VS1,Nov,2023,-34.5
,1.5-1.69,F,VS2,Nov,2023,-33
,1.5-1.69,F,SI1,Nov,2023,-34
,1.5-1.69,F,SI2,Nov,2023,-35
,1.5-1.69,F,I1,Nov,2023,-30
,1.5-1.69,G,IF,Nov,2023,-39
,1.5-1.69,G,VVS1,Nov,2023,-35
,1.5-1.69,G,VVS2,Nov,2023,-35
,1.5-1.69,G,VS1,Nov,2023,-34
